,Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,No. of Receptions,Location,City/County,Postal Code,lat,lon,geometry,index_right,objectid,LSOA Code,lsoa11nm,lsoa11nmw,st_areasha,st_lengths,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Theft,Vehicle Offences,Violence Against the Person
231,Colosseum Terrace,850000,Flat / Apartment,726,2,2,2,Albany Street,London,NW1 4EB,51.5266321,-0.1445123,POINT (528814.7648862711 182489.242679222),928,929,E01000946,Camden 021B,Camden 021B,482823.039877,5601.288381,1.013253527148354,1.0175288584865327,1.009833262077811,1.0012825994014536,1.0,1.0115433946130825,1.0106883283454469,1.0863616930312099,1.0089781958101753,1.039760581445062
232,Rede Place,2700000,House,1791,3,3,3,Notting Hill,London,W2 4TU,51.5137726,-0.1940661,POINT (525412.6902668043 180973.2052974217),4540,4541,E01004654,Westminster 014B,Westminster 014B,118467.956449,1931.784706,1.0068917987594763,1.0175740868366643,1.0041350792556858,1.0003445899379737,1.0003445899379737,1.0099931082012406,1.0048242591316334,1.0482425913163336,1.0196416264645072,1.036526533425224
233,Tennyson Road,695000,House,795,2,2,2,Wimbledon,London,SW19 8SH,51.42391689999999,-0.1870379,POINT (526147.7300114853 170992.9862957644),3381,3382,E01003455,Merton 005E,Merton 005E,215307.651007,2671.391346,1.006543723973825,1.008923259964307,1.0095181439619274,1.0,1.0017846519928615,1.0095181439619274,0.0,1.0047590719809638,1.0124925639500297,1.0261748958953003
234,Coleford Road,1400000,House,1799,4,4,4,London,Wandsworth,SW18 1AD,51.4588744,-0.1866178,POINT (526080.7102745017 174881.0916965359),4399,4400,E01004510,Wandsworth 012B,Wandsworth 012B,166014.955609,2989.185695,1.006280843427546,1.0112157918349036,1.0071781067743382,1.0013458950201883,1.0013458950201883,1.0022431583669806,1.0013458950201883,1.0152534768954689,1.0116644235082997,1.0228802153432033
235,St. Anns Terrace,2050000,House,1293,3,3,3,St John's Wood,London,NW8 6PJ,51.534522,-0.171645,POINT (526910.7461672551 183319.2563193644),4533,4534,E01004647,Westminster 001A,Westminster 001A,196197.791764,2490.973997,1.0062409985597696,1.0067210753720595,1.0019203072491598,1.00048007681229,1.00048007681229,1.0134421507441191,1.0043206913106097,1.0172827652424388,1.0177628420547287,1.0244839174267883
236,Durward Street,615000,Flat / Apartment,972,2,2,2,Whitechapel,London,E1 5BA,51.51987219999999,-0.06075100000000001,POINT (534644.8535974111 181888.1903001996),4109,4110,E01004208,Tower Hamlets 013C,Tower Hamlets 013C,160999.273121,3060.862082,1.0156657963446476,1.0167847817978366,1.0346885490488624,1.0033569563595672,1.0041029466616933,1.0421484520701232,1.0164117866467737,1.165609847071988,1.0152928011935844,1.092502797463633
237,Fairacres,1000000,Flat / Apartment,1777,3,3,3, Putney,London,SW15 5LX,51.4616054,-0.2443667,POINT (522061.6298231992 175087.0431936873),4463,4464,E01004575,Wandsworth 013C,Wandsworth 013C,544308.662159,4303.928595,1.0062571103526734,1.0113765642775883,1.0062571103526734,1.0022753128555177,1.0005688282138794,1.0062571103526734,1.0028441410693971,1.0187713310580204,1.018202502844141,1.0546075085324231
238,Clapham Park Road,315000,Flat / Apartment,526,1,1,1,,London,SW4 7EX,51.459848,-0.1312143,POINT (529926.7870798393 175086.1108331945),2990,2991,E01003057,Lambeth 017D,Lambeth 017D,96309.142093,2051.547938,1.011703511053316,1.0143042912873863,1.0097529258777633,1.0026007802340702,1.0019505851755526,1.0091027308192457,1.0013003901170352,1.0208062418725619,1.0084525357607281,1.0507152145643692
239,Moore House,1850000,New development,1328,3,3,3,2 Gatliff Road,London,SW1W 8DT,51.4881328,-0.1501096,POINT (528534.7124206577 178198.1457323249),4551,4552,E01004667,Westminster 023C,Westminster 023C,131373.597837,2479.574116,1.0086805555555556,1.0069444444444444,1.0052083333333333,1.0005787037037037,1.0005787037037037,1.009837962962963,1.0,1.0173611111111112,1.0069444444444444,1.041087962962963
240,Graham Terrace,2895000,House,1289,3,3,3,,London,SW1W 8HN,51.4911624,-0.1546111,POINT (528213.7044948796 178527.1606147292),4551,4552,E01004667,Westminster 023C,Westminster 023C,131373.597837,2479.574116,1.0086805555555556,1.0069444444444444,1.0052083333333333,1.0005787037037037,1.0005787037037037,1.009837962962963,1.0,1.0173611111111112,1.0069444444444444,1.041087962962963
241,Whiston House,450000,Flat / Apartment,459,1,1,1,Bingham Court,London,N1 2DH,51.5417615,-0.1003588,POINT (531833.8283124713 184250.2768836265),2726,2727,E01002791,Islington 016E,Islington 016E,144252.019564,2098.279371,1.0057829181494662,1.0151245551601424,1.0084519572953736,1.0008896797153024,1.001779359430605,1.00711743772242,1.0102313167259787,1.0591637010676156,1.0124555160142348,1.0222419928825623
242,Grand Avenue,500000,House,963,2,2,2,Surbiton,Surrey,KT5 9HU,51.389622,-0.2766599,POINT (520006.6116105119 167028.919387842),2852,2853,E01002917,Kingston upon Thames 014C,Kingston upon Thames 014C,281196.486242,3566.634898,1.0027567195037905,1.0068917987594763,1.002067539627843,1.0013783597518953,0.0,1.0013783597518953,1.0006891798759476,1.0027567195037905,1.0068917987594763,1.0062026188835287
243,Tooting Bec Road,675000,Flat / Apartment,949,2,2,2,,London,SW17 8BW,51.4339214,-0.1550329,POINT (528344.7819472189 172161.049561055),4371,4372,E01004482,Wandsworth 030A,Wandsworth 030A,119295.571748,2091.793177,1.0069356872635562,1.0031525851197982,1.0063051702395964,1.0006305170239596,0.0,1.008827238335435,1.0018915510718789,1.0163934426229508,1.010718789407314,1.0353089533417403
244,Dance Square,650000,Flat / Apartment,583,1,1,1,Peartree Street,Clerkenwell,EC1V 3AN,51.5258796,-0.0975314,POINT (532075.8140339348 182489.2501656956),2642,2643,E01002703,Islington 023C,Islington 023C,85878.188388,1628.73161,1.0079710144927536,1.0105072463768117,1.0036231884057971,1.0003623188405797,1.001086956521739,1.0119565217391304,1.0028985507246377,1.0257246376811595,1.0108695652173914,1.0358695652173913
245,Flanders Road,1395000,House,1068,1,1,1,Chiswick,London,W4 1NB,51.4957694,-0.2504453,POINT (521548.597168248 178876.1330999318),2516,2517,E01002573,Hounslow 001C,Hounslow 001C,180883.009656,2532.2223,1.0092531394580304,1.0092531394580304,1.0059484467944482,1.0013218770654329,0.0,1.0066093853271645,1.007270323859881,1.0409781890284204,1.021810971579643,1.0270984798413747
246,The Spinney,2395000,House,4966,5,5,5, Oxshott,Surrey,KT22 0PL,51.34119159999999,-0.3570275,POINT (514535.627550174 161514.8930956052),6369,29561,E01030342,Elmbridge 018B,Elmbridge 018B,6119256.407173,14831.468587,,,,,,,,,,
247,Astley House,725000,Flat / Apartment,858,3,3,3,42 Trinity Church Road,London,SW13 8EA,51.4832949,-0.2305431,POINT (522963.6145188807 177522.1170606085),3717,3718,E01003802,Richmond upon Thames 001F,Richmond upon Thames 001F,392655.442681,2808.059431,1.0015128593040847,1.0158850226928895,1.0007564296520424,1.002269288956127,0.0,1.0007564296520424,0.0,1.0075642965204237,1.0090771558245084,1.0158850226928895
248,Suffolk Road,2000000,House,2525,4,4,4,Barnes,London,SW13 9PH,51.4789413,-0.2406339,POINT (522274.6153871769 177021.0928573653),3712,3713,E01003797,Richmond upon Thames 001A,Richmond upon Thames 001A,426420.942077,4492.651407,1.003523608174771,1.0063424947145878,1.0014094432699083,1.003523608174771,0.0,0.0,1.0007047216349543,1.014094432699084,1.0274841437632136,1.0133897110641297
249,Shorrolds Road,625000,Flat / Apartment,664,2,2,2,,London,SW6 7TP,51.4812634,-0.2010398,POINT (525017.6568833203 177346.1260173686),1834,1835,E01001881,Hammersmith and Fulham 017B,Hammersmith and Fulham 017B,111199.03519,1938.455525,1.011290322580645,1.0204301075268818,1.0129032258064516,1.003763440860215,1.000537634408602,1.0274193548387096,1.0053763440860215,1.0827956989247312,1.0188172043010753,1.0596774193548386
250,Raynham Road,1350000,House,1328,3,3,3,Brackenbury Village,London,W6 0HY,51.49541439999999,-0.2333584,POINT (522735.6180395902 178865.1404825956),1882,1883,E01001929,Hammersmith and Fulham 009D,Hammersmith and Fulham 009D,86188.029273,1452.404844,1.0141509433962264,1.0125786163522013,1.005503144654088,0.0,0.0,1.005503144654088,1.001572327044025,1.0306603773584906,1.0306603773584906,1.028301886792453
251,Henning Street,2100000,House,2191,4,4,4,Battersea,London,SW11 3DR,51.4736258,-0.1712014,POINT (527110.7133003754 176548.1258460581),4466,4467,E01004579,Wandsworth 004B,Wandsworth 004B,117601.925178,1871.534195,1.020979020979021,1.0174825174825175,1.008158508158508,1.0029137529137528,1.0023310023310024,1.005827505827506,1.0017482517482517,1.0244755244755244,1.0203962703962703,1.0320512820512822
252,The Mount,3650000,House,8034,6,6,6,Esher,Surrey,KT10 8LQ,51.3624334,-0.3752005,POINT (513217.5645708895 163848.8771960717),6336,29528,E01030309,Elmbridge 013C,Elmbridge 013C,5219657.775412,11468.039256,,,,,,,,,,
253,Palewell Park,1850000,House,1892,4,4,4,,London,SW14 8JJ,51.46126080000001,-0.2647209,POINT (520648.6147890315 175015.0252022047),3721,3722,E01003806,Richmond upon Thames 012B,Richmond upon Thames 012B,4150736.929319,10248.057832,1.0050093926111459,1.0219160926737634,1.002504696305573,1.0006261740763933,0.0,1.0043832185347528,1.0012523481527864,1.0093926111458986,1.0306825297432687,1.007514088916719
254,Cranbourne Court,1500000,Flat / Apartment,1132,3,3,3,Albert Bridge Road,London,SW11 4PE,51.4804752,-0.1664055,POINT (527424.6998635276 177318.1319014268),4469,4470,E01004582,Wandsworth 001C,Wandsworth 001C,131353.229306,2036.887609,1.0046511627906978,1.0080338266384778,1.00338266384778,1.0012684989429175,1.0004228329809726,1.0046511627906978,1.00338266384778,1.0177589852008457,1.0173361522198732,1.0186046511627906
255,Rothwell Street,3625000,House,2190,4,4,4,Primrose Hill,London,NW1 8YH,51.5405045,-0.1568545,POINT (527919.7701351501 184010.2747838369),841,842,E01000859,Camden 018C,Camden 018C,95242.405712,2001.34824,1.0078947368421052,1.016842105263158,1.0021052631578948,1.0005263157894737,1.0005263157894737,1.0084210526315789,1.0057894736842106,1.0605263157894738,1.0321052631578946,1.0236842105263158
256,New Concordia Wharf,1500000,Flat / Apartment,1274,2,2,2,Mill Street,London,SE1 2BB,51.5019415,-0.0711522,POINT (533975.8162897548 179875.1765116542),7015,32003,E01032834,Southwark 003K,Southwark 003K,33646.362675,1702.907755,1.0043010752688173,1.0164874551971326,1.0078853046594982,0.0,1.0,1.007168458781362,1.0021505376344086,1.0681003584229392,1.0078853046594982,1.010752688172043
257,Castelnau,525000,Flat / Apartment,630,2,2,2,Barnes,London,SW13 9ER,51.485224,-0.2338387,POINT (522729.6169762941 177731.1167288722),3716,3717,E01003801,Richmond upon Thames 001E,Richmond upon Thames 001E,314206.278071,3387.126785,1.0052473763118441,1.0,1.0,0.0,1.0007496251874064,1.0059970014992503,1.0014992503748126,1.0142428785607196,1.0082458770614693,1.0112443778110944
258,Banbury House,290000,Flat / Apartment,455,1,1,1,Banbury Road,London,E9 7ED,51.5389487,-0.0430822,POINT (535813.8963021077 184042.1796984109),1794,1795,E01001841,Hackney 022C,Hackney 022C,136049.766953,2400.037139,1.0131909547738693,1.0131909547738693,1.0050251256281406,1.0031407035175879,1.0006281407035176,1.0075376884422111,1.0094221105527639,1.0376884422110553,1.0188442211055277,1.028894472361809
259,Putney Heath Lane,1725000,House,2931,5,5,5,Putney,London,SW15 3JG,51.4520999,-0.2198893,POINT (523787.6607390761 174071.0389173076),4394,4395,E01004505,Wandsworth 014D,Wandsworth 014D,197437.415969,2460.048903,1.001729106628242,1.0207492795389048,1.0011527377521614,1.0011527377521614,1.0005763688760807,1.001729106628242,1.001729106628242,1.0097982708933717,1.013256484149856,1.0115273775216138
260,Rydon Street,1395000,House,1510,3,3,3,Islington,London,N1 7AL,51.5371806,-0.0918256,POINT (532438.8308360877 183756.2652888661),2733,2734,E01002798,Islington 018C,Islington 018C,139357.41742,2075.869887,1.0057609217474797,1.011521843494959,1.0105616898703793,1.00144023043687,1.00048007681229,1.012962073931829,1.0028804608737398,1.0470475276044167,1.0192030724915986,1.0230436869899184
261,Aragon Tower,400000,Flat / Apartment,705,2,2,2,George Beard Road,Deptford,SE8 3AL,51.4906741,-0.0316966,POINT (536747.8393571588 178695.123481454),3178,3179,E01003249,Lewisham 001D,Lewisham 001D,112961.980905,1624.569557,1.0113960113960114,1.0118708452041785,1.0094966761633428,1.002849002849003,1.0014245014245013,1.0061728395061729,1.0023741690408356,1.0180436847103513,1.0142450142450143,1.0384615384615385
262,Cadogan Lane,3350000,House,1504,3,3,3,,London,SW1X 9DU,51.49505420000001,-0.156197,POINT (528092.7105232642 178957.1686327457),2798,2799,E01002863,Kensington and Chelsea 012E,Kensington and Chelsea 012E,125340.703653,1824.976933,1.0065312046444121,1.011611030478955,1.0058055152394776,1.0007256894049348,0.0,1.0058055152394776,1.0079825834542815,1.025399129172714,1.039187227866473,1.0203193033381712
263,Cedar Mews,1795000,House,2067,4,4,4, Putney,London,SW15 6ED,51.4581501,-0.2209495,POINT (523697.6561510532 174742.0545558178),4389,4390,E01004500,Wandsworth 014A,Wandsworth 014A,160061.065989,2774.051347,1.0050226017076846,1.010045203415369,1.0015067805123055,1.0005022601707685,1.0005022601707685,1.0060271220492214,1.0015067805123055,1.0105474635861376,1.0145655449522852,1.0160723254645907
264,Tormead,600000,Flat / Apartment,1160,2,2,2, Northwood,Middlesex,HA6 2BX,51.6138337,-0.4299219,POINT (508808.4739999319 191723.3877117295),2424,2425,E01002476,Hillingdon 001C,Hillingdon 001C,627259.136806,5829.958985,1.0012515644555695,1.002503128911139,1.0012515644555695,1.0018773466833542,0.0,1.0018773466833542,1.0,1.0087609511889863,1.006883604505632,1.0156445556946183
265,Kent Avenue,1500000,House,1997,4,4,4,Ealing,London,W13 8BH,51.5234186,-0.3210431,POINT (516577.5725466874 181836.1370459234),1193,1194,E01001212,Ealing 018F,Ealing 018F,285779.985027,2737.968763,1.0047675804529201,1.004171632896305,1.0053635280095352,1.000595947556615,0.0,1.0071513706793802,1.0029797377830751,1.0089392133492252,1.0262216924910608,1.0214541120381406
266,Trefoil Road,1600000,House,2149,4,4,4,Wandsworth,London,SW18 2EQ,51.45666620000001,-0.1822286,POINT (526391.720214583 174643.0911919706),4513,4514,E01004627,Wandsworth 019F,Wandsworth 019F,109605.328911,1329.18472,1.0029222676797194,1.0140268848626535,1.0023378141437755,1.0011689070718879,0.0,1.005844535359439,1.0040911747516073,1.0169491525423728,1.0233781414377556,1.0181180596142607
267,Thirlmere Road,1550000,House,3620,7,7,7,,London,SW16 1QW,51.4291423,-0.1360204,POINT (529679.805105462 171663.0530862971),3051,3052,E01003119,Lambeth 032C,Lambeth 032C,169819.746445,2119.660343,1.0096280087527352,1.0109409190371992,1.0061269146608316,1.0013129102844638,1.000437636761488,1.0052516411378556,1.0017505470459518,1.0157549234135668,1.013566739606127,1.0336980306345733
268,The Regency,1325000,Flat / Apartment,1195,3,3,3, Westminster,London,SW1P 4HD,51.4919695,-0.1334455,POINT (529680.7330682426 178654.164115534),4626,4627,E01004747,Westminster 021E,Westminster 021E,107246.599552,2040.504681,1.0144761904761905,1.014857142857143,1.0175238095238095,1.0034285714285713,1.0003809523809524,1.0236190476190477,1.0038095238095237,1.020190476190476,1.0072380952380953,1.0422857142857143
269,Murray Mews,1395000,House,1587,3,3,3,Camden,London,NW1 9RJ,51.544407,-0.1306793,POINT (529723.8004485639 184490.3050973419),846,847,E01000864,Camden 015A,Camden 015A,99435.618261,1985.176145,1.0087855297157622,1.0077519379844961,1.0067183462532299,1.0031007751937984,0.0,1.007235142118863,1.001033591731266,1.027906976744186,1.0191214470284238,1.0258397932816536
270,Wilmington Square,735000,Flat / Apartment,849,2,2,2,,London,WC1X 0ER,51.5269111,-0.1095984,POINT (531235.7999779843 182582.2614201793),2664,2665,E01002726,Islington 022F,Islington 022F,165710.029119,2360.822143,1.0137772675086107,1.021239954075775,1.0143513203214696,1.002296211251435,1.0017221584385763,1.0223880597014925,1.0068886337543055,1.1239954075774972,1.0223880597014925,1.0522388059701493
271,Lynwood Road,825000,House,2094,4,4,4,Thames Ditton,Surrey,KT7 0DJ,51.3792079,-0.3401625,POINT (515614.5941944768 165768.8864686874),6347,29539,E01030320,Elmbridge 009B,Elmbridge 009B,441225.309436,3421.476094,,,,,,,,,,
272,Telfords Yard,1500000,Flat / Apartment,2550,3,3,3,,London,E1W 2BQ,51.5089508,-0.06484659999999999,POINT (534392.8345033919 180666.1797540973),4187,4188,E01004294,Tower Hamlets 026B,Tower Hamlets 026B,214574.10371,2711.94987,1.0151950718685832,1.0246406570841888,1.0246406570841888,1.0028747433264886,1.0016427104722792,1.0193018480492813,1.0078028747433265,1.0562628336755646,1.0168377823408625,1.0537987679671459
273,Landmark East Tower,679000,Flat / Apartment,832,2,2,2, Canary Wharf,London,E14 9DB,51.502014,-0.0247381,POINT (537196.8671007401 179969.1515935965),6995,31957,E01032782,Tower Hamlets 033D,Tower Hamlets 033D,75507.739308,1821.888137,1.0044510385756678,1.0037091988130564,1.0014836795252227,1.0014836795252227,0.0,1.007047477744807,1.0014836795252227,1.0137240356083086,1.0077893175074184,1.0426557863501484
274,Stanley Mansions,1500000,Flat / Apartment,1244,3,3,3,Park Walk,London,SW10 0AG,51.4858083,-0.1802927,POINT (526445.6804981532 177887.1354519501),2847,2848,E01002912,Kensington and Chelsea 020E,Kensington and Chelsea 020E,112353.343952,2624.392434,1.0174157303370785,1.0162921348314606,1.0078651685393258,1.0016853932584269,0.0,1.0353932584269663,1.002808988764045,1.097752808988764,1.0196629213483146,1.097191011235955
275,Ducks Hill Road,1000000,New development,1501,3,3,3,Northwood,Middlesex,HA6 2SB,51.6107583,-0.4393868,POINT (508160.4662387228 191367.3400506175),2423,2424,E01002475,Hillingdon 001B,Hillingdon 001B,750820.099202,6574.309923,1.0153333333333334,1.0066666666666666,1.004,1.0026666666666666,0.0,1.0113333333333334,1.0013333333333334,1.0066666666666666,1.0206666666666666,1.0346666666666666
276,Blomfield Road,4995000,House,3035,4,4,4,Little Venice,London,W9 2PF,51.5216445,-0.1832173,POINT (526143.713215169 181867.2262336778),4583,4584,E01004703,Westminster 007B,Westminster 007B,207406.909392,2358.613517,1.0069204152249136,1.0062283737024222,1.0100346020761246,1.001038062283737,1.001038062283737,1.0062283737024222,1.0069204152249136,1.0269896193771626,1.0183391003460207,1.0294117647058822
277,Wadham Road,1350000,House,1604,4,4,4,Putney,London,SW15 2LS,51.4618163,-0.2095349,POINT (524480.6710830461 175169.0731626924),4489,4490,E01004602,Wandsworth 010C,Wandsworth 010C,142222.255589,2379.149176,1.0065320665083135,1.0100950118764846,1.002375296912114,1.0017814726840855,1.0005938242280286,1.017814726840855,1.0041567695961995,1.0469121140142519,1.0160332541567696,1.0415676959619953
278,Bingfield Street,625000,New development,723,2,2,2,,London,N1 0BH,51.5391493,-0.1179309,POINT (530622.8030658723 183928.2945547947),2647,2648,E01002709,Islington 019C,Islington 019C,81315.683172,1665.598962,1.0068298235628912,1.0045532157085941,1.0068298235628912,1.0017074558907229,1.0011383039271486,1.008537279453614,1.002276607854297,1.0136596471257826,1.0068298235628912,1.0404097894137734
279,Orsman Road,600000,Flat / Apartment,660,2,2,2,Hackney,London,N1 5QL,51.53664269999999,-0.079274,POINT (533310.8491976046 183719.2279014432),1714,1715,E01001754,Hackney 025C,Hackney 025C,119861.837939,2056.032234,1.0072076882007475,1.0160170848905499,1.0104111051788573,1.0018686599038975,1.00106780565937,1.0050720768820074,1.0045381740523225,1.0493860117458622,1.0149492792311798,1.0266951414842498
280,Cinnabar Wharf East,875000,Flat / Apartment,627,1,1,1,28 Wapping High Street,London,E1W 1NG,51.5038004,-0.06499289999999999,POINT (534397.8250296246 180093.1740082327),4186,4187,E01004293,Tower Hamlets 027B,Tower Hamlets 027B,326564.116832,3568.64319,1.007906783187682,1.015813566375364,1.0162297128589264,1.0008322929671245,1.0008322929671245,1.0120682480233043,1.0033291718684978,1.0803162713275072,1.0108198085726177,1.0345401581356637
281,Boardwalk Place,565000,Flat / Apartment,872,2,2,2,Canary Wharf,London,E14 5SH,51.5059784,-0.009767399999999999,POINT (538223.8814738947 180438.1462089316),6993,31955,E01032780,Tower Hamlets 028I,Tower Hamlets 028I,352538.731612,3498.817675,1.0084388185654007,1.015295358649789,1.004746835443038,1.0015822784810127,0.0,1.0131856540084387,1.0005274261603376,1.015295358649789,1.020042194092827,1.0411392405063291
282,Carlyle Square,5850000,House,3128,5,5,5,,London,SW3 6EX,51.4868347,-0.1722721,POINT (526999.6889930677 178015.1462660995),2845,2846,E01002910,Kensington and Chelsea 019C,Kensington and Chelsea 019C,140782.831798,1789.628063,1.0045751633986928,1.0058823529411764,1.0032679738562091,0.0,0.0,1.0065359477124183,1.0098039215686274,1.0241830065359476,1.0241830065359476,1.0254901960784313
283,Burlington Lodge Studios,1250000,Flat / Apartment,1201,2,2,2,48 Rigault Road,London,SW6 4JJ,51.4715207,-0.2090256,POINT (524489.6576867541 176249.1048349637),1904,1905,E01001952,Hammersmith and Fulham 024D,Hammersmith and Fulham 024D,94571.844814,1584.726914,1.0079901659496004,1.0190534726490472,1.0043023970497849,1.0006146281499693,0.0,1.009219422249539,1.0018438844499078,1.046097111247695,1.0190534726490472,1.0338045482483098
284,Overstrand Mansions,1800000,Flat / Apartment,1453,3,3,3,Prince of Wales Drive,London,SW11 4HA,51.4752125,-0.1570978,POINT (528085.7234532123 176749.1285263707),4449,4450,E01004560,Wandsworth 001A,Wandsworth 001A,695555.131704,5079.876441,1.0059687786960514,1.0091827364554637,1.0142332415059687,1.0013774104683195,1.0,1.0128558310376492,1.0188246097337006,1.0459136822773187,1.0431588613406795,1.044077134986226
285,Eden House,1495000,New development,1781,4,4,4,New Road,London,N8 8TA,51.5816773,-0.1248059,POINT (530024.7827828485 188645.3471251922),1975,1976,E01002024,Haringey 022D,Haringey 022D,159358.388227,2420.557231,1.0065359477124183,1.017156862745098,1.0016339869281046,1.0016339869281046,0.0,1.0106209150326797,1.0138888888888888,1.022875816993464,1.0204248366013071,1.0245098039215685
286,Fentiman Road,3100000,House,3800,8,8,8,,London,SW8 1QA,51.4816879,-0.1203127,POINT (530621.7506058194 177534.1469727077),7051,32345,E01033207,Lambeth 004F,Lambeth 004F,237348.086819,5121.7297,1.0139791937581275,1.0165799739921977,1.0136540962288687,1.004551365409623,1.0022756827048114,1.0240572171651496,1.005851755526658,1.0711963589076723,1.017555266579974,1.084850455136541
287,Craven Gardens,1050000,Flat / Apartment,1831,3,3,3,Wimbledon,London,SW19 8LU,51.4248418,-0.1951141,POINT (525583.7180305289 171081.9769194344),3380,3381,E01003454,Merton 003B,Merton 003B,155356.597135,2814.047004,1.0059084194977843,1.0014771048744462,1.000738552437223,1.000738552437223,0.0,1.0081240768094535,1.0014771048744462,1.0103397341211227,1.0036927621861151,1.0140324963072378
288,Leopold Road,1850000,House,2503,5,5,5,Wimbledon,London,SW19 7JG,51.4296765,-0.2054397,POINT (524852.7014981395 171601.9794183366),3391,3392,E01003465,Merton 002D,Merton 002D,615768.081004,5244.933137,1.001670843776107,1.0133667502088555,1.0075187969924813,1.001670843776107,0.0,1.0058479532163742,1.0033416875522139,1.0041771094402674,1.0250626566416041,1.0175438596491229
289,Queensland Road,730000,Flat / Apartment,1061,3,3,3,,London,N7 7FF,51.55349520000001,-0.1074863,POINT (531305.8282702343 185542.298659591),7077,32586,E01033492,Islington 011I,Islington 011I,149881.085986,2501.038419,1.0036376864314296,1.0043652237177156,1.0032739177882866,1.0007275372862858,0.0,1.0032739177882866,1.0014550745725719,1.0210985813022917,1.0069116042197161,1.0218261185885777
290,St. Marys Road,2900000,House,5896,7,7,7, Surbiton,Surrey,KT6 5EY,51.38453879999999,-0.3142164,POINT (517406.5950697339 166402.8951285501),6350,29542,E01030323,Elmbridge 006B,Elmbridge 006B,423443.324684,4197.696568,,,,,,,,,,
291,Rowfant Road,650000,Flat / Apartment,736,2,2,2,,London,SW17 7AP,51.4413524,-0.1569351,POINT (528191.7765368083 172984.0685481713),4437,4438,E01004548,Wandsworth 029D,Wandsworth 029D,164110.195002,2616.669123,1.011094301563288,1.0191628845184064,1.016137165910237,1.0025214321734746,1.000504286434695,1.0201714573877962,1.0080685829551186,1.0418557740796772,1.0121028744326777,1.033282904689864
292,Cleveland Gardens,2100000,House,2438,5,5,5,Barnes,London,SW13 0AJ,51.4707611,-0.2492565,POINT (521697.6157645676 176097.0660576766),3771,3772,E01003857,Richmond upon Thames 003F,Richmond upon Thames 003F,146771.324802,2603.921932,1.0063168124392614,1.0068027210884354,1.0019436345966959,1.000485908649174,1.000485908649174,1.0048590864917395,1.000971817298348,1.0136054421768708,1.010204081632653,1.0136054421768708
293,Elm Bank Gardens,2250000,House,2600,5,5,5,Barnes,London,SW13 0NT,51.4710488,-0.2534787,POINT (521403.6126109435 176122.0574170267),3768,3769,E01003854,Richmond upon Thames 003C,Richmond upon Thames 003C,143579.06108,2161.017993,1.0149558123725357,1.0183548606390211,1.0013596193065941,1.0006798096532972,1.0006798096532972,1.016995241332427,1.0061182868796736,1.0550645819170632,1.036709721278042,1.025152957171992
294,Belleville Road,1695000,House,1867,5,5,5,,London,SW11 6QT,51.4561024,-0.1668059,POINT (527464.746647432 174607.0999601434),4446,4447,E01004557,Wandsworth 015B,Wandsworth 015B,108632.583076,1613.813628,1.0056593095642332,1.0045274476513866,1.0028296547821165,1.00339558573854,1.0005659309564232,1.0062252405206564,1.0022637238256933,1.0260328239954726,1.0158460667798528,1.0158460667798528
295,Cottenham Park Road,1375000,House,1884,4,4,4,Wimbledon,London,SW20 0SB,51.4157924,-0.2327042,POINT (522994.6706315373 170011.9535600121),3370,3371,E01003444,Merton 010C,Merton 010C,265925.578592,3573.341491,1.0037014188772362,1.0067859346082666,1.001233806292412,1.000616903146206,0.0,1.0067859346082666,1.000616903146206,1.0030845157310302,1.0166563849475632,1.0172732880937694
296,Barmouth Road,1400000,House,2138,5,5,5,Wandsworth,London,SW18 2DT,51.4523404,-0.1839548,POINT (526283.7234084271 174159.0730216138),4506,4507,E01004620,Wandsworth 019C,Wandsworth 019C,106518.450527,1888.154028,1.006310958118187,1.0137693631669535,1.0017211703958693,0.0,1.0005737234652898,1.0017211703958693,1.0011474469305794,1.012621916236374,1.0166379804934023,1.0206540447504302
297,St. Stephen's Gardens,635000,Flat / Apartment,927,2,2,2,Putney,London,SW15 2RR,51.45848600000001,-0.2058074,POINT (524748.6751179573 174805.0682796803),4396,4397,E01004507,Wandsworth 014E,Wandsworth 014E,180889.408791,3605.20532,1.0066500415627597,1.0241064006650042,1.0020781379883623,1.0004156275976726,0.0,1.0108063175394846,1.0012468827930174,1.0261845386533666,1.0145469659185369,1.0357439733998337
298,Upper St. Martin's Lane,2995000,Penthouse,1845,3,3,3,,London,WC2H 9DL,51.5128804,-0.1274165,POINT (530039.7664701469 180990.2145417923),901,902,E01000919,Camden 028D,Camden 028D,149934.407977,1796.298747,1.031844316674038,1.0243255196815568,1.0747456877487838,1.0022114108801414,1.0004422821760284,1.0243255196815568,1.0340557275541795,1.3325961963732862,1.02874834144184,1.070765148164529
299,Egerton Gardens,1000000,House,1758,4,4,4,,Ealing,W13 8HQ,51.5189166,-0.3175044,POINT (516834.5713872548 181341.1248663707),1205,1206,E01001224,Ealing 019B,Ealing 019B,239771.919745,2358.721676,1.0061433447098975,1.0054607508532423,1.0006825938566553,0.0,1.0006825938566553,1.0129692832764505,1.0020477815699658,1.01160409556314,1.0300341296928328,1.0177474402730375
